,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
106,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,APPS,0.6909005628517838,0.690712945590996,0.6199812382739223,0.6917917448405265,0.6507973733583504
107,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,APPS,0.69315196998124,0.691322701688557,0.6204033771106954,0.6925422138836785,0.6480300187617273
108,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,APPS,0.9132098765432086,0.9016049382716029,0.8867901234567868,0.9330246913580238,0.8691358024691336
109,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,2/3,APPS,0.9107407407407383,0.8902469135802437,0.8125308641975278,0.9181481481481467,0.8624074074074052
110,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,3/4,APPS,0.926913580246912,0.8991975308641952,0.8536419753086388,0.9319135802469126,0.8862345679012333
111,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,APPS,0.7729629629629601,0.7091975308641949,0.7612345679012308,0.7792592592592563,0.723148148148145
112,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,APPS,0.7982098765432084,0.7808641975308633,0.7295679012345646,0.8266666666666644,0.7858024691357992
113,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,APPS,0.7982098765432084,0.7804938271604928,0.7257407407407385,0.8196913580246887,0.7917901234567885
114,gemini-2.5-flash-lite,phi4-14b,internal state,1/2,APPS,0.7745863666446049,0.7970880211780274,0.788749172733286,0.820383851753804,0.7954996690933147
115,gemini-2.5-flash-lite,phi4-14b,internal state,2/3,APPS,0.7775645268034405,0.8240238252812696,0.7710787557908638,0.7988749172733283,0.7759099933818647
116,gemini-2.5-flash-lite,phi4-14b,internal state,3/4,APPS,0.7692918596955646,0.8107875579086687,0.7030443414956957,0.8057577763070811,0.7766379880873576
117,gemini-2.5-flash-lite,phi4-14b,prompt embedding,nomic-embed-text,APPS,0.6900727994705463,0.6567835870284561,0.6536730641958935,0.6887491727332872,0.6253474520185289
118,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-large,APPS,0.7565188616810041,0.6941760423560529,0.6827266710787538,0.7553937789543336,0.7095301125082688
119,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-small,APPS,0.7537392455327578,0.6941760423560529,0.7195234943745846,0.7604897418927855,0.7101919258768987
