,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
76,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,APPS,0.8766666666666667,0.9166666666666666,0.8766666666666667,0.8866666666666667,0.8966666666666666
77,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,APPS,0.8766666666666667,0.9166666666666666,0.8866666666666667,0.8966666666666666,0.8966666666666666
78,gpt-4o,qwen2.5-coder-7b,internal state,1/2,APPS,0.8566666666666667,0.8566666666666667,1.0,0.8766666666666667,0.9133333333333333
79,gpt-4o,qwen2.5-coder-7b,internal state,2/3,APPS,0.8066666666666666,0.8366666666666667,0.8666666666666667,0.8366666666666667,0.8366666666666667
80,gpt-4o,qwen2.5-coder-7b,internal state,3/4,APPS,0.8066666666666666,0.8566666666666667,0.8833333333333333,0.8366666666666667,1.0
81,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,APPS,0.9266666666666666,0.9466666666666667,0.9466666666666667,0.9566666666666667,0.9266666666666666
82,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,APPS,0.8966666666666666,0.9466666666666667,0.9066666666666666,0.9366666666666666,0.8966666666666666
83,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,APPS,0.8966666666666666,0.9466666666666667,0.8566666666666667,0.9366666666666666,0.8933333333333333
84,gpt-4o,phi4-14b,internal state,1/2,APPS,0.7666666666666667,0.8766666666666667,1.0,0.7366666666666667,0.7666666666666667
85,gpt-4o,phi4-14b,internal state,2/3,APPS,0.7066666666666667,0.8266666666666667,1.0,0.7266666666666667,0.8733333333333333
86,gpt-4o,phi4-14b,internal state,3/4,APPS,0.6966666666666667,0.8366666666666667,1.0,0.7266666666666667,0.9066666666666666
87,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,APPS,0.9566666666666667,0.9266666666666666,0.9166666666666666,0.9366666666666666,0.9366666666666666
88,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,APPS,0.8966666666666666,0.9266666666666666,0.9066666666666666,0.9066666666666666,1.0
89,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,APPS,0.9066666666666666,0.9266666666666666,0.8966666666666666,0.9066666666666666,1.0
90,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,APPS,0.11333333333333333,0.10333333333333333,1.0,0.16333333333333333,0.07333333333333333
91,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,APPS,0.08333333333333333,0.09333333333333334,0.21333333333333335,0.09333333333333334,0.38333333333333336
92,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,APPS,0.07333333333333333,0.09333333333333334,1.0,0.09333333333333334,0.13333333333333333
93,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,APPS,0.49333333333333335,0.15333333333333332,0.5666666666666667,0.3233333333333333,0.41333333333333333
94,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,APPS,0.29333333333333333,0.20333333333333334,0.36333333333333334,0.20333333333333334,0.18333333333333332
95,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,APPS,0.29333333333333333,0.20333333333333334,0.37333333333333335,0.19333333333333333,0.3233333333333333
96,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,APPS,0.23333333333333334,0.31333333333333335,1.0,0.2733333333333333,0.44333333333333336
97,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,APPS,0.20333333333333334,0.29333333333333333,0.45666666666666667,0.23333333333333334,0.8666666666666667
98,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,APPS,0.29333333333333333,0.37333333333333335,1.0,0.3233333333333333,0.8066666666666666
99,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,APPS,0.9266666666666666,0.9166666666666666,0.9166666666666666,0.7566666666666667,0.8266666666666667
100,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,APPS,0.5566666666666666,0.6666666666666666,0.6466666666666666,0.36333333333333334,0.7766666666666666
101,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,APPS,0.5266666666666666,0.6466666666666666,0.6866666666666666,0.41333333333333333,0.7766666666666666
102,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,APPS,0.023333333333333334,0.03333333333333333,0.07333333333333333,0.03333333333333333,0.043333333333333335
103,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,APPS,0.03333333333333333,0.043333333333333335,0.07333333333333333,0.05333333333333334,0.043333333333333335
104,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,APPS,0.023333333333333334,0.03333333333333333,0.06333333333333334,0.043333333333333335,0.03333333333333333
